,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
275,276.0,Billings,Yellowstone,Montana,Bill Cole,"""Magic City"" ""City by the Rims"" ""Star of the Big Sky Country"" ""Montana's Trailhead""",109550,104170,+5.16%,43.7,2525,"(45.7885, 108.5499)"
276,277.0,Inglewood,Los Angeles,California,N/A,"""City of Champions""",109419,109673,-0.23%,9.1,12160,"(33.9561, 118.3443)"
277,278.0,Broken Arrow,"Tulsa, Wagoner",Oklahoma,Craig Thurmond,None,109171,98850,+10.44%,61.7,1741,"(36.0365, 95.7810)"
278,279.0,Sandy Springs,Fulton,Georgia,Rusty Paul,None,108797,93853,+15.92%,37.7,2804,"(33.9315, 84.3687)"
279,280.0,Jurupa Valley,Riverside,California,Verne Lauritzen,"""Jurupa""",108393,0,NA[ab],42.9,2414,"(34.0026, 117.4676)"
280,281.0,Hillsboro,Washington,Oregon,Steve Callaway,The Hub City,108389,91611,+18.31%,25.0,4207,"(45.5280, 122.9357)"
281,282.0,Waterbury,New Haven,Connecticut,Neil O'Leary ,The Brass City,108093,110366,-2.06%,28.5,3799,"(41.5585, 73.0367)"
282,283.0,Santa Maria,Santa Barbara,California,Alice Patino,BBQ Capital of California,107408,99553,+7.89%,22.8,4662,"(34.9332, 120.4438)"
283,284.0,Boulder,Boulder,Colorado,Suzanne Jones,None,107353,97385,+10.24%,24.8,4358,"(40.0270, 105.2519)"
284,285.0,Greeley,Weld,Colorado,John Gates ,None,107348,92889,+15.57%,47.8,2176,"(40.4153, 104.7697)"
285,286.0,Daly City,San Mateo,California,Raymond A. Buenaventura,Gateway to the Peninsula,107008,101123,+5.82%,7.6,14009,"(37.7009, 122.4650)"
286,287.0,Meridian,Ada,Idaho,Tammy de Weerd,The Center of the Treasure Valley,106804,75092,+42.23%,29.8,3584,"(43.6142, 116.3989)"
287,288.0,Lewisville,"Denton, Dallas",Texas,Rudy Durham,None,106586,95290,+11.85%,36.7,2852,"(33.0466, 96.9818)"
288,289.0,Davie,Broward,Florida,Judy Paul ,None,106558,91992,+15.83%,34.9,2919,"(26.0791, 80.2850)"
289,290.0,West Covina,Los Angeles,California,Lloyd Johnson,None,106311,106098,+0.20%,16.0,6740,"(34.0559, 117.9099)"
290,291.0,League City,Galveston,Texas,Pat Hallisey,None,106244,83560,+27.15%,51.2,1992,"(29.4901, 95.1091)"
291,292.0,Tyler,Smith,Texas,Martin Heines ,Rose City,105729,96900,+9.11%,56.6,1852,"(32.3173, 95.3059)"
292,293.0,Norwalk,Los Angeles,California,Margarita L. Rios ,None,105120,105549,-0.41%,9.7,10946,"(33.9076, 118.0835)"
293,294.0,San Mateo,San Mateo,California,Diane Papan,None,105025,97207,+8.04%,12.1,8592,"(37.5603, 122.3106)"
294,295.0,Green Bay,Brown,Wisconsin,Eric Genrich," ""Titletown""",104879,104057,+0.79%,45.4,2316,"(44.5207, 87.9842)"
295,296.0,Wichita Falls,Wichita,Texas,Stephen Santellana ,None,104576,104553,+0.02%,72.2,1450,"(33.9067, 98.5259)"
296,297.0,Sparks,Washoe,Nevada,Ron Smith ,The Rail City,104246,90264,+15.49%,35.9,2810,"(39.5544, 119.7356)"
297,298.0,Lakewood,Ocean,New Jersey,Raymond Coles ,None,104157,92843,+12.19%,24.7,4079,"(40.0771, 74.2004)"
298,299.0,Burbank,Los Angeles,California,Emily Gabel-Luddy,None,103695,103340,+0.34%,17.4,6003,"(34.1901, 118.3264)"
299,300.0,Rialto,San Bernardino,California,Deborah Robertson,None,103440,99171,+4.30%,22.3,4633,"(34.1118, 117.3883)"
300,301.0,Allen,Collin,Texas,Steve Terrell Baine Brooks Gary L. Caplinger Lauren Doherty Kurt Kizer Carl Clemencich Robin L. Sedlacek,None,103383,84246,+22.72%,27.1,3715,"(33.0997, 96.6631)"
